Nombre,Comunidad Autónoma,Provincia,Municipio,Localidad,Direccion,Código Postal,Telefono,Zona Básica,Área de Salud,Modalidad Gestión,Dependencia de Gestión,Tipo de Centro,Acreditación Docente
ABEGONDO,GALICIA,"CORUÑA, A",Abegondo,ABEGONDO (SANTA EULALIA),"LUGAR CAMPO DA FEIRA, S/N",15318,981673330,ABEGONDO,A CORUÑA-CEE,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
A CASTELLANA,GALICIA,"CORUÑA, A",Aranga,VILARRASO (SAN LOURENZO),"LUGAR VILLARRASO, S/N",15317,981789514,ARANGA,A CORUÑA-CEE,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
MUNIFERRAL,GALICIA,"CORUÑA, A",Aranga,MUNIFERRAL (SAN CRISTOVO),LUGAR VILA,15317,981793573,ARANGA,A CORUÑA-CEE,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
VILARRODÍS,GALICIA,"CORUÑA, A",Arteixo,VILARRODÍS,"CL AGUCEIRA, Nº 8",15141,981000000,ARTEIXO,A CORUÑA-CEE,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
MEICENDE,GALICIA,"CORUÑA, A",Arteixo,PASTORIZA (SANTA MARÍA),"TRAVESÍA DE MEICENDE, Nº 54",15140,981148071,ARTEIXO,A CORUÑA-CEE,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
ARTEIXO,GALICIA,"CORUÑA, A",Arteixo,ARTEIXO (SANTIAGO),"TRAVESIA ARTEIXO, Nº 278",15008,981640364,ARTEIXO,A CORUÑA-CEE,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,SI
GUISAMO,GALICIA,"CORUÑA, A",Bergondo,GUISAMO (SANTA MARÍA),"C/ RÚA NUEVA, S/N",15640,981795621,BERGONDO,A CORUÑA-CEE,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
BERGONDO,GALICIA,"CORUÑA, A",Bergondo,BERGONDO (SAN SALVADOR),"LUGAR SAN ISIDRO, S/N",15165,981794320,BERGONDO,A CORUÑA-CEE,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
BETANZOS,GALICIA,"CORUÑA, A",Betanzos,BETANZOS,"AV CARREGAL, Nº 17",15300,981770790,BETANZOS,A CORUÑA-CEE,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
CESULLAS,GALICIA,"CORUÑA, A",Cabana de Bergantiños,CESULLAS (SAN ESTEBAN),"LUGAR A CARBALLA, Nº 6",15115,981754282,CABANA,A CORUÑA-CEE,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
