,Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
ANDALUCÍA;Mujeres;2020;4293806
ARAGÓN;Mujeres;2020;673335
ASTURIAS;Mujeres;2020;532718
ILLES BALEARS;Mujeres;2020;587245
CANARIAS;Mujeres;2020;1099767
CANTABRIA;Mujeres;2020;300346
CASTILLA Y LEÓN;Mujeres;2020;1216072
CASTILLA-LA MANCHA;Mujeres;2020;1021481
CATALUÑA;Mujeres;2020;3953515
COMUNIDAD VALENCIANA;Mujeres;2020;2565232
EXTREMADURA;Mujeres;2020;537699
GALICIA;Mujeres;2020;1401666
MADRID;Mujeres;2020;3536095
MURCIA;Mujeres;2020;754552
NAVARRA;Mujeres;2020;333971
PAÍS VASCO;Mujeres;2020;1141052
LA RIOJA;Mujeres;2020;162079
CEUTA;Mujeres;2020;41660
MELILLA;Mujeres;2020;42914
