CCN,CNH,NOMBRE,COMUNIDAD_AUTONOMA,PROVINCIA,MUNICIPIO,DIRECCION,CODIGO_POSTAL,TELEFONO,NUMERO_DE_CAMAS,TIPO_DE_CENTRO,DEPENDENCIA,OBSERVACIONES,CONCIERTO,ACREDITACION_DOCENTE
104000314,40059,HOSPITAL VIRGEN DEL MAR,ANDALUCÍA,ALMERÍA,Almería,"CARRETERA DEL MAMI, KM. 1 S/N",4120,950210100,76,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
104000316,40010,HOSPITAL UNIVERSITARIO TORRECARDENAS,ANDALUCÍA,ALMERÍA,Almería,CALLE PARAJE TORRECARDENAS S/N,4009,950016114,635,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
104000319,40031,HOSPITAL DE  LA CRUZ ROJA DE ALMERIA,ANDALUCÍA,ALMERÍA,Almería,CARRETERA DE RONDA S/N,4009,950017400,69,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
104000320,40084,HOSPITAL LA INMACULADA,ANDALUCÍA,ALMERÍA,Huércal-Overa,AVENIDA DOCTORA ANA PARRA S/N,4600,950029176,184,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
104000321,40118,HOSPITAL DE PONIENTE,ANDALUCÍA,ALMERÍA,"Ejido, El",CARRETERA ALMERIMAR S/N,4700,950022500,261,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
104000322,40101,HOSPITAL  MEDITERRANEO,ANDALUCÍA,ALMERÍA,Almería,CALLE NUEVA MUSA 8,4007,950621063,89,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
104001001,40127,HOSPITAL DE ALTA RESOLUCION ELTOYO,ANDALUCÍA,ALMERÍA,Almería,CAMINO DE LA BOTICA S/N,4131,950158015,44,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
111000252,110271,CLINICA SERMAN - INSTITUTO MEDICO,ANDALUCÍA,CÁDIZ,Jerez de la Frontera,PASEO LA ROSALEDA 40,11405,956301211,41,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
111000283,110162,HOSPITAL GENERAL SANTA MARIA DEL PUERTO,ANDALUCÍA,CÁDIZ,"Puerto de Santa María, El",CALLE VALDES S/N,11500,956017000,238,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
111000284,110125,HOSPITAL SAN  JUAN GRANDE,ANDALUCÍA,CÁDIZ,Jerez de la Frontera,GLORIETA DOCTOR FELIX RODRIGUEZ DE LA FUENTE S/N,11408,956357300,143,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
111000285,110051,HOSPITAL SAN RAFAEL,ANDALUCÍA,CÁDIZ,Cádiz,CALLE DIEGO ARIAS 2,11002,956017267,280,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
111000286,110259,HOSPITAL PUNTA DE EUROPA,ANDALUCÍA,CÁDIZ,Algeciras,CARRETERA GETARES S/N,11207,956025000,270,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
111000289,110327,HOSPITAL UNIVERSITARIO PUERTA DEL MAR,ANDALUCÍA,CÁDIZ,Cádiz,AVENIDA ANA DE VIYA 21,11009,956002040,674,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
111000290,110110,HOSPITAL UNIVERSITARIO DE JEREZ DE LA FRONTERA,ANDALUCÍA,CÁDIZ,Jerez de la Frontera,CARRETERA RONDA CIRCUNVALACION S/N,11408,956032075,476,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
111000291,110184,HOSPITAL UNIVERSITARIO DE PUERTO REAL,ANDALUCÍA,CÁDIZ,Puerto Real,"CARRETERA NACIONAL IV, KM. 665 S/N",11510,956005147,319,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
111000292,110048,CLINICA LA SALUD,ANDALUCÍA,CÁDIZ,Cádiz,CALLE FEDUCHY 8-14,11001,956225301,58,Hospitales Generales,PRIVADOS,,Sin concierto,NO
111000293,110218,HOSPITAL VIRGEN DE LAS MONTAÑAS,ANDALUCÍA,CÁDIZ,Villamartín,AVENIDA AMBULATORIO S/N,11650,956041000,108,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
111000294,110223,HOSPITAL VIRGEN DEL CAMINO,ANDALUCÍA,CÁDIZ,Sanlúcar de Barrameda,"CARRETERA SANLUCAR-CHIPIONA, S/N S/N",11540,956048068,118,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
111000295,110239,HOSPITAL JEREZ PUERTA DEL SUR,ANDALUCÍA,CÁDIZ,Jerez de la Frontera,AVENIDA PUERTA DEL SUR S/N,11408,956357100,98,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
111000297,110103,CLINICA LOS ALAMOS,ANDALUCÍA,CÁDIZ,Jerez de la Frontera,AVENIDA TAMARIX 4,11407,956182244,15,Hospitales Generales,PRIVADOS,,Sin concierto,NO
111000300,110260,HOSPITAL VIAMED NOVO SANCTI PETRI,ANDALUCÍA,CÁDIZ,Chiclana de la Frontera,"AVENIDA OCTAVIO AUGUSTO, S/N S/N",11139,956495000,37,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
111000411,110248,HOSPITAL VIAMED BAHIA DE CADIZ,ANDALUCÍA,CÁDIZ,Chiclana de la Frontera,CALLE AYALA 2,11130,956533333,46,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
111002394,110282,HOSPITAL QUIRON CAMPO DE GIBRALTAR,ANDALUCÍA,CÁDIZ,"Barrios, Los",CALLE ARTTYSUR - P. E. T. LAS MARISMAS DE PALMONES S/N,11379,956798301,64,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
111004317,110316,HOSPITAL DE LA LINEA DE LA CONCEPCION,ANDALUCÍA,CÁDIZ,"Línea de la Concepción, La","RONDA NORTE, ESQUINA C/ GABRIEL MIRÃ³ S/N",11300,956026500,243,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
111004473,110305,HOSPITAL SAN  CARLOS DE SAN FERNANDO,ANDALUCÍA,CÁDIZ,San Fernando,PASEO CAPITAN CONFORTO S/N,11100,956002040,65,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
111004486,110213,HOSPITAL DE ALTA RESOLUCION DE ESPECIALIDADES DE LA JANDA,ANDALUCÍA,CÁDIZ,Vejer de la Frontera,POLIGONO 53 PARCELA 72 S/N,11150,955018063,24,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
114000529,140116,HOSPITAL INFANTA  MARGARITA,ANDALUCÍA,CÓRDOBA,Cabra,AVENIDA GONGORA S/N,14940,957021300,232,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
