ANDALUCÍA	
    1.-DELITOS Y FALTAS (EU)	85396.0	80611.0	-5.6	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	14.0	16.0	14.3	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	1799.0	1838.0	2.2	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	4890.0	4833.0	-1.2	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	2181.0	2091.0	-4.1	
    6.-TRÁFICO DE DROGAS (EU)	760.0	683.0	-10.1	
    7.-DAÑOS	8804.0	8593.0	-2.4	
    8.-HURTOS	27375.0	26466.0	-3.3	
Provincia de ALMERÍA	
    1.-DELITOS Y FALTAS (EU)	7504.0	7664.0	2.1	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	2.0	4.0	100.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	177.0	164.0	-7.3	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	726.0	769.0	5.9	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	132.0	191.0	44.7	
    6.-TRÁFICO DE DROGAS (EU)	32.0	43.0	34.4	
    7.-DAÑOS	862.0	1057.0	22.6	
    8.-HURTOS	2011.0	1886.0	-6.2	
- Municipio de Almería	
    1.-DELITOS Y FALTAS (EU)	2268.0	2284.0	0.7	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	79.0	54.0	-31.6	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	148.0	144.0	-2.7	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	49.0	99.0	102.0	
    6.-TRÁFICO DE DROGAS (EU)	13.0	15.0	15.4	
    7.-DAÑOS	256.0	310.0	21.1	
    8.-HURTOS	763.0	673.0	-11.8	
- Municipio de Roquetas de Mar	
    1.-DELITOS Y FALTAS (EU)	1429.0	1505.0	5.3	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	42.0	55.0	31.0	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	155.0	130.0	-16.1	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	24.0	23.0	-4.2	
    6.-TRÁFICO DE DROGAS (EU)	3.0	9.0	200.0	
    7.-DAÑOS	159.0	205.0	28.9	
