AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2019;Enero;CENTRO;27;20;35;21;41;16;10;170
2019;Enero;ARGANZUELA;16;9;13;8;24;8;3;81
2019;Enero;RETIRO;7;4;7;4;18;6;4;50
2019;Enero;SALAMANCA;21;15;16;14;31;17;7;121
2019;Enero;CHAMARTIN;12;7;21;5;25;6;5;81
2019;Enero;TETUAN;28;9;19;9;36;10;1;112
2019;Enero;CHAMBERI;9;13;26;2;20;10;0;80
2019;Enero;FUENCARRAL;33;13;20;4;32;13;9;124
2019;Enero;MONCLOA;14;3;15;12;36;10;8;98
2019;Enero;LATINA;23;8;18;13;51;12;24;149
2019;Enero;CARABANCHEL;37;11;12;9;45;18;3;135
2019;Enero;USERA;19;6;13;2;25;6;3;74
2019;Enero;PUENTE VALLECAS;40;9;19;9;30;8;2;117
2019;Enero;MORATALAZ;14;0;6;2;11;1;0;34
2019;Enero;CIUDAD LINEAL;35;6;17;6;35;8;2;109
2019;Enero;HORTALEZA;24;5;22;4;18;10;3;86
2019;Enero;VILLAVERDE;38;2;12;4;21;4;3;84
2019;Enero;VILLA DE VALLECAS;22;1;4;3;8;9;5;52
2019;Enero;VICALVARO;11;3;9;1;3;7;1;35
2019;Enero;SAN BLAS;17;4;10;8;18;5;2;64
2019;Enero;BARAJAS;7;1;3;2;1;1;3;18
2019;Febrero;CENTRO;25;21;21;15;27;16;12;137
2019;Febrero;ARGANZUELA;16;7;11;5;15;11;7;72
2019;Febrero;RETIRO;11;7;12;2;7;6;1;46
2019;Febrero;SALAMANCA;21;10;15;9;21;7;2;85
2019;Febrero;CHAMARTIN;12;5;11;2;20;7;6;63
2019;Febrero;TETUAN;12;7;21;7;10;5;6;68
2019;Febrero;CHAMBERI;17;12;21;5;24;11;2;92
2019;Febrero;FUENCARRAL;32;8;22;5;25;7;7;106
2019;Febrero;MONCLOA;8;4;13;2;11;3;6;47
2019;Febrero;LATINA;24;4;10;5;16;15;14;88
2019;Febrero;CARABANCHEL;37;2;18;6;33;16;4;116
2019;Febrero;USERA;23;0;6;1;7;11;2;50
2019;Febrero;PUENTE VALLECAS;43;6;12;8;21;7;2;99
2019;Febrero;MORATALAZ;12;4;5;2;10;4;0;37
2019;Febrero;CIUDAD LINEAL;29;6;21;1;31;10;1;99
2019;Febrero;HORTALEZA;16;3;8;4;13;6;2;52
2019;Febrero;VILLAVERDE;23;2;9;2;11;7;13;67
2019;Febrero;VILLA DE VALLECAS;30;2;12;0;7;9;3;63
2019;Febrero;VICALVARO;10;2;4;1;6;2;0;25
2019;Febrero;SAN BLAS;18;1;12;1;15;4;3;54
2019;Febrero;BARAJAS;5;1;2;0;3;0;5;16
2019;Marzo;CENTRO;29;21;31;10;37;18;23;169
2019;Marzo;ARGANZUELA;32;1;23;8;23;11;8;106
2019;Marzo;RETIRO;9;2;7;2;14;3;2;39
2019;Marzo;SALAMANCA;14;10;13;2;25;6;12;82
2019;Marzo;CHAMARTIN;21;12;11;9;20;8;11;92
2019;Marzo;TETUAN;32;12;14;10;18;11;6;103
2019;Marzo;CHAMBERI;21;13;19;5;14;6;2;80
2019;Marzo;FUENCARRAL;22;4;21;7;35;8;11;108
2019;Marzo;MONCLOA;16;4;15;6;23;4;8;76
2019;Marzo;LATINA;20;3;14;6;25;11;7;86
2019;Marzo;CARABANCHEL;44;3;17;8;27;11;5;115
2019;Marzo;USERA;17;4;8;5;13;10;3;60
2019;Marzo;PUENTE VALLECAS;45;7;16;4;37;10;5;124
2019;Marzo;MORATALAZ;9;2;9;1;11;4;0;36
2019;Marzo;CIUDAD LINEAL;25;4;13;11;26;12;2;93
2019;Marzo;HORTALEZA;27;1;18;6;17;8;3;80
2019;Marzo;VILLAVERDE;43;3;13;6;19;8;4;96
2019;Marzo;VILLA DE VALLECAS;24;1;14;3;9;10;4;65
2019;Marzo;VICALVARO;13;0;3;1;5;3;1;26
2019;Marzo;SAN BLAS;17;3;6;4;27;5;3;65
2019;Marzo;BARAJAS;10;1;5;2;3;2;1;24
2019;Abril;CENTRO;21;23;30;24;39;15;6;158
2019;Abril;ARGANZUELA;17;7;19;9;26;5;5;88
2019;Abril;RETIRO;9;7;14;6;22;7;2;67
2019;Abril;SALAMANCA;14;18;17;11;25;9;4;98
2019;Abril;CHAMARTIN;5;8;21;12;34;10;4;94
2019;Abril;TETUAN;22;14;14;11;21;8;2;92
2019;Abril;CHAMBERI;17;12;13;9;16;8;5;80
2019;Abril;FUENCARRAL;31;8;22;11;35;15;4;126
2019;Abril;MONCLOA;12;4;20;11;23;8;4;82
2019;Abril;LATINA;32;7;26;7;29;10;1;112
2019;Abril;CARABANCHEL;32;6;27;7;38;13;0;123
