Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0104000314,040059,HOSPITAL VIRGEN DEL MAR,ANDALUCÍA,ALMERÍA,Almería,"CARRETERA DEL MAMI, KM. 1 S/N",04120,950210100,76,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0104000316,040010,HOSPITAL UNIVERSITARIO TORRECARDENAS,ANDALUCÍA,ALMERÍA,Almería,CALLE PARAJE TORRECARDENAS S/N,04009,950016114,635,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0104000319,040031,HOSPITAL DE  LA CRUZ ROJA DE ALMERIA,ANDALUCÍA,ALMERÍA,Almería,CARRETERA DE RONDA S/N,04009,950017400,69,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0104000320,040084,HOSPITAL LA INMACULADA,ANDALUCÍA,ALMERÍA,Huércal-Overa,AVENIDA DOCTORA ANA PARRA S/N,04600,950029176,184,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0104000321,040118,HOSPITAL DE PONIENTE,ANDALUCÍA,ALMERÍA,"Ejido, El",CARRETERA ALMERIMAR S/N,04700,950022500,261,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0104000322,040101,HOSPITAL  MEDITERRANEO,ANDALUCÍA,ALMERÍA,Almería,CALLE NUEVA MUSA 8,04007,950621063,89,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0104001001,040127,HOSPITAL DE ALTA RESOLUCION ELTOYO,ANDALUCÍA,ALMERÍA,Almería,CAMINO DE LA BOTICA S/N,04131,950158015,44,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0111000252,110271,CLINICA SERMAN - INSTITUTO MEDICO,ANDALUCÍA,CÁDIZ,Jerez de la Frontera,PASEO LA ROSALEDA 40,11405,956301211,41,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0111000283,110162,HOSPITAL GENERAL SANTA MARIA DEL PUERTO,ANDALUCÍA,CÁDIZ,"Puerto de Santa María, El",CALLE VALDES S/N,11500,956017000,238,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0111000284,110125,HOSPITAL SAN  JUAN GRANDE,ANDALUCÍA,CÁDIZ,Jerez de la Frontera,GLORIETA DOCTOR FELIX RODRIGUEZ DE LA FUENTE S/N,11408,956357300,143,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0111000285,110051,HOSPITAL SAN RAFAEL,ANDALUCÍA,CÁDIZ,Cádiz,CALLE DIEGO ARIAS 2,11002,956017267,280,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0111000286,110259,HOSPITAL PUNTA DE EUROPA,ANDALUCÍA,CÁDIZ,Algeciras,CARRETERA GETARES S/N,11207,956025000,270,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0111000289,110327,HOSPITAL UNIVERSITARIO PUERTA DEL MAR,ANDALUCÍA,CÁDIZ,Cádiz,AVENIDA ANA DE VIYA 21,11009,956002040,674,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0111000290,110110,HOSPITAL UNIVERSITARIO DE JEREZ DE LA FRONTERA,ANDALUCÍA,CÁDIZ,Jerez de la Frontera,CARRETERA RONDA CIRCUNVALACION S/N,11408,956032075,476,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0111000291,110184,HOSPITAL UNIVERSITARIO DE PUERTO REAL,ANDALUCÍA,CÁDIZ,Puerto Real,"CARRETERA NACIONAL IV, KM. 665 S/N",11510,956005147,319,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0111000292,110048,CLINICA LA SALUD,ANDALUCÍA,CÁDIZ,Cádiz,CALLE FEDUCHY 8-14,11001,956225301,58,Hospitales Generales,PRIVADOS,,Sin concierto,NO
0111000293,110218,HOSPITAL VIRGEN DE LAS MONTAÑAS,ANDALUCÍA,CÁDIZ,Villamartín,AVENIDA AMBULATORIO S/N,11650,956041000,108,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0111000294,110223,HOSPITAL VIRGEN DEL CAMINO,ANDALUCÍA,CÁDIZ,Sanlúcar de Barrameda,"CARRETERA SANLUCAR-CHIPIONA, S/N S/N",11540,956048068,118,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0111000295,110239,HOSPITAL JEREZ PUERTA DEL SUR,ANDALUCÍA,CÁDIZ,Jerez de la Frontera,AVENIDA PUERTA DEL SUR S/N,11408,956357100,98,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0111000297,110103,CLINICA LOS ALAMOS,ANDALUCÍA,CÁDIZ,Jerez de la Frontera,AVENIDA TAMARIX 4,11407,956182244,15,Hospitales Generales,PRIVADOS,,Sin concierto,NO
0111000300,110260,HOSPITAL VIAMED NOVO SANCTI PETRI,ANDALUCÍA,CÁDIZ,Chiclana de la Frontera,"AVENIDA OCTAVIO AUGUSTO, S/N S/N",11139,956495000,37,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0111000411,110248,HOSPITAL VIAMED BAHIA DE CADIZ,ANDALUCÍA,CÁDIZ,Chiclana de la Frontera,CALLE AYALA 2,11130,956533333,46,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0111002394,110282,HOSPITAL QUIRON CAMPO DE GIBRALTAR,ANDALUCÍA,CÁDIZ,"Barrios, Los",CALLE ARTTYSUR - P. E. T. LAS MARISMAS DE PALMONES S/N,11379,956798301,64,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0111004317,110316,HOSPITAL DE LA LINEA DE LA CONCEPCION,ANDALUCÍA,CÁDIZ,"Línea de la Concepción, La","RONDA NORTE, ESQUINA C/ GABRIEL MIRÃ³ S/N",11300,956026500,243,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0111004473,110305,HOSPITAL SAN  CARLOS DE SAN FERNANDO,ANDALUCÍA,CÁDIZ,San Fernando,PASEO CAPITAN CONFORTO S/N,11100,956002040,65,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0111004486,110213,HOSPITAL DE ALTA RESOLUCION DE ESPECIALIDADES DE LA JANDA,ANDALUCÍA,CÁDIZ,Vejer de la Frontera,POLIGONO 53 PARCELA 72 S/N,11150,955018063,24,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0114000529,140116,HOSPITAL INFANTA  MARGARITA,ANDALUCÍA,CÓRDOBA,Cabra,AVENIDA GONGORA S/N,14940,957021300,232,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0114000530,140230,HOSPITAL UNIVERSITARIO REINA SOFIA,ANDALUCÍA,CÓRDOBA,Córdoba,AVENIDA MENENDEZ PIDAL S/N,14004,957010380,607,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0114000531,140060,HOSPITAL PROVINCIAL,ANDALUCÍA,CÓRDOBA,Córdoba,AVENIDA MENENDEZ PIDAL S/N,14004,957011604,392,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0114000532,140039,HOSPITAL LOS MORALES,ANDALUCÍA,CÓRDOBA,Córdoba,CARRETERA LOS MOLARES S/N,14012,957012042,19,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0114000533,140044,HOSPITAL MATERNO - INFANTIL DEL H.U. REINA SOFIA,ANDALUCÍA,CÓRDOBA,Córdoba,AVENIDA MENENDEZ PIDAL S/N,14004,957010380,194,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0114000535,140121,HOSPITAL  VALLE DE LOS PEDROCHES,ANDALUCÍA,CÓRDOBA,Pozoblanco,CALLE JUAN DEL REY CALERO S/N,14400,957026306,135,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0114000536,140082,HOSPITAL SAN JUAN DE DIOS DE CORDOBA,ANDALUCÍA,CÓRDOBA,Córdoba,AVENIDA DEL BRILLANTE 106,14012,957274600,193,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0114000537,140076,HOSPITAL CRUZ ROJA DE CORDOBA,ANDALUCÍA,CÓRDOBA,Córdoba,PASEO DE LA VICTORIA S/N,14004,957420666,138,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0114000873,140195,HOSPITAL DE MONTILLA,ANDALUCÍA,CÓRDOBA,Montilla,"CARRETERA CTRA. MONTORO-PUENTE GENIL, KM. 65,350 S/N",14550,957022600,92,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0114001301,140218,HOSPITAL DE ALTA RESOLUCION  DE PUENTE GENIL,ANDALUCÍA,CÓRDOBA,Puente Genil,CALLE BURGOS S/N,14500,957615000,24,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0114001599,140229,HOSPITAL DE ALTA RESOLUCION VALLE DEL GUADIATO,ANDALUCÍA,CÓRDOBA,Peñarroya-Pueblonuevo,CALLE PARAJE CERRO DEL CAMELLO S/N,14200,957579100,17,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0114003668,140241,HOSPITAL QUIRONSALUD CORDOBA,ANDALUCÍA,CÓRDOBA,Córdoba,"AVENIDA DEL AEROPUERTO, S/N S/N",14004,957410000,115,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0118000553,180074,HOSPITAL DE LA INMACULADA CONCEPCION,ANDALUCÍA,GRANADA,Granada,CALLE DOCTOR ALEJANDRO OTERO 8,18004,958187712,95,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0118000554,180093,HOSPITAL DE BAZA,ANDALUCÍA,GRANADA,Baza,"CARRETERA MURCIA, KM. 1,6 S/N",18800,958031303,117,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
