Tipo de indicador;Tipo de dato;Periodo;Total
Condenados;Dato base;2020;25.436
Condenados;Dato base;2019;30.495
Condenados;Dato base;2018;27.972
Condenados;Dato base;2017;27.202
Condenados;Dato base;2016;25.959
Condenados;Dato base;2015;24.265
Condenados;Porcentaje;2020;-16,6
Condenados;Porcentaje;2019;9
Condenados;Porcentaje;2018;2,83
Condenados;Porcentaje;2017;4,79
Condenados;Porcentaje;2016;6,98
Condenados;Porcentaje;2015;..
Absueltos;Dato base;2020;3.489
Absueltos;Dato base;2019;5.149
Absueltos;Dato base;2018;5.025
Absueltos;Dato base;2017;6.181
Absueltos;Dato base;2016;6.288
Absueltos;Dato base;2015;6.768
Absueltos;Porcentaje;2020;-32,2
Absueltos;Porcentaje;2019;2,5
Absueltos;Porcentaje;2018;-18,7
Absueltos;Porcentaje;2017;-1,7
Absueltos;Porcentaje;2016;-7,09
Absueltos;Porcentaje;2015;..
